isbn_livro,posicao,copias_vendidas,mes_ano
978-85-45202-21-9,4,7.946,7//2022
978-85-68014-00-4,5,7.639,7//2022
978-85-51002-34-6,6,7.462,7//2022
978-65-55653-30-4,7,7.387,7//2022
978-85-55341-61-8,8,6.037,7//2022
978-85-55342-06-6,9,5.436,7//2022
978-85-32529-78-7,10,5.260,7//2022
978-85-42218-75-6,11,4.758,7//2022
978-85-84391-50-9,12,4.753,7//2022
978-65-55661-69-9,13,4.598,7//2022
978-65-55603-02-6,14,4.513,7//2022
978-65-59604-64-7,15,4.013,7//2022
978-65-80309-31-3,16,3.878,7//2022
978-85-68014-54-7,17,3.766,7//2022
978-85-55341-62-5,18,3.642,7//2022
978-85-62409-88-2,19,3.610,7//2022
978-65-55441-83-3,20,3.563,7//2022
978-65-88444-51-1,1,15.684,8//2022
978-85-01112-51-4,2,12.110,8//2022
978-65-55653-30-4,3,8.011,8//2022
978-85-68014-00-4,4,7.312,8//2022
978-65-50471-41-5,5,6.456,8//2022
978-65-86077-89-6,6,6.107,8//2022
978-65-55123-03-6,7,5.619,8//2022
978-65-59870-52-3,8,5.614,8//2022
978-85-51002-34-6,9,5.560,8//2022
978-85-45202-21-9,10,4.750,8//2022
978-85-32529-78-7,11,4.328,8//2022
978-85-84391-50-9,12,3.852,8//2022
978-65-55442-29-8,13,3.760,8//2022
978-65-59571-86-4,14,3.753,8//2022
